date,new_key_count,total_keys,new_keys_in_last_14_days,non_expired_keys
2020-06-23,474,474,474,474
2020-06-24,720,1194,1194,1194
2020-06-25,1160,2354,2354,2354
2020-06-26,1450,3804,3804,3804
2020-06-27,1280,5084,5084,5084
2020-06-28,760,5844,5844,5834
2020-06-29,1270,7114,7114,7094
2020-06-30,2680,9794,9794,9323
2020-07-01,1990,11784,11784,10621
2020-07-02,1960,13744,13744,11617
2020-07-03,945,14689,14689,11341
2020-07-04,535,15224,15224,10639
2020-07-05,180,15404,15404,9515
2020-07-06,495,15899,15899,8595
2020-07-07,715,16614,16140,7975
2020-07-08,495,17109,15915,7030
2020-07-09,620,17729,15375,6380
2020-07-10,1540,19269,15465,6770
2020-07-11,1010,20279,15195,6615
2020-07-12,200,20479,14635,5660
2020-07-13,440,20919,13805,5055
2020-07-14,1150,22069,12275,5330
2020-07-15,1220,23289,11505,5730
2020-07-16,1235,24524,10780,6190
2020-07-17,1255,25779,11090,6650
2020-07-18,1035,26814,11590,6860
2020-07-19,345,27159,11755,6345
2020-07-20,560,27719,11820,6055
2020-07-21,835,28554,11940,6050
2020-07-22,720,29274,12165,5875
2020-07-23,1375,30649,12920,6380
2020-07-24,1140,31789,12520,6620
2020-07-25,740,32529,12250,6465
2020-07-26,825,33354,12875,6385
2020-07-27,595,33949,13030,6005
2020-07-28,1790,35739,13670,6905
2020-07-29,2290,38029,14740,8235
2020-07-30,2520,40549,16025,9715
2020-07-31,1575,42124,16345,10150
2020-08-01,1405,43529,16715,10410
2020-08-02,1385,44914,17755,10590
2020-08-03,1645,46559,18840,10955
2020-08-04,2813,49372,20818,12428
2020-08-05,2415,51787,22513,13358
2020-08-06,3050,54837,24188,14833
2020-08-07,2210,57047,25258,15273
2020-08-08,1655,58702,26173,15053
2020-08-09,565,59267,25913,13678
2020-08-10,2380,61647,27698,14114
2020-08-11,2285,63932,28193,14380
2020-08-12,3800,67732,29703,16186
2020-08-13,3940,71672,31123,18037
2020-08-14,3020,74692,32568,18788
2020-08-15,2675,77367,33838,19124
2020-08-16,1790,79157,34243,18475
2020-08-17,2785,81942,35383,18775
2020-08-18,3749,85691,36319,20024
2020-08-19,3970,89661,37874,21409
2020-08-20,4740,94401,39564,23539
2020-08-21,3550,97951,40904,24284
2020-08-22,3393,101344,42642,24742
2020-08-23,2535,103879,44612,24118
2020-08-24,3165,107044,45397,24175
2020-08-25,4156,111200,47268,25112
2020-08-26,4410,115610,47878,26223
2020-08-27,5435,121045,49373,28365
2020-08-28,5310,126355,51663,30133
2020-08-29,3339,129694,52327,29739
2020-08-30,2245,131939,52782,28026
2020-08-31,3000,134939,52997,27074
2020-09-01,4835,139774,54083,28025
2020-09-02,6095,145869,56208,30240
2020-09-03,6685,152554,58153,32980
2020-09-04,6285,158839,60888,35060
2020-09-05,4460,163299,61955,35125
2020-09-06,2158,165457,61578,32743
2020-09-07,4630,170087,63043,32853
2020-09-08,4932,175019,63819,33301
2020-09-09,6885,181904,66294,35618
2020-09-10,7395,189299,68254,38354
2020-09-11,7762,197061,70706,41316
2020-09-12,5310,202371,72677,41527
2020-09-13,4977,207348,75409,41080
2020-09-14,5655,213003,78064,41144
2020-09-15,9548,222551,82777,45055
2020-09-16,10235,232786,86917,49418
2020-09-17,11165,243951,91397,54445
2020-09-18,10369,254320,95481,58356
2020-09-19,5290,259610,96311,56764
2020-09-20,3250,262860,97403,52842
2020-09-21,8390,271250,101163,54160
2020-09-22,9405,280655,105636,56191
2020-09-23,13539,294194,112290,62186
2020-09-24,12229,306423,117124,66428
2020-09-25,12457,318880,121819,70546
2020-09-26,9593,328473,126102,71302
2020-09-27,6071,334544,127196,68191
2020-09-28,8430,342974,129971,67285
2020-09-29,12700,355674,133123,70799
2020-09-30,12850,368524,135738,74276
2020-10-01,14299,382823,138872,79147
2020-10-02,0,382823,128503,69524
2020-10-03,0,382823,123213,60306
2020-10-04,0,382823,119963,51208
2020-10-05,0,382823,111573,42730
2020-10-06,0,382823,102168,34858
2020-10-07,0,382823,88629,28024
2020-10-08,0,382823,76400,22029
2020-10-09,0,382823,63943,16974
2020-10-10,0,382823,54350,12399
2020-10-11,0,382823,48279,8409
2020-10-12,0,382823,39849,4699
2020-10-13,0,382823,27149,1799
2020-10-14,0,382823,14299,0
2020-10-15,0,382823,0,0
2020-10-16,0,382823,0,0
2020-10-17,0,382823,0,0
2020-10-18,0,382823,0,0
2020-10-19,0,382823,0,0
2020-10-20,0,382823,0,0
2020-10-21,0,382823,0,0
2020-10-22,0,382823,0,0
2020-10-23,0,382823,0,0
2020-10-24,0,382823,0,0
2020-10-25,0,382823,0,0
2020-10-26,0,382823,0,0
2020-10-27,0,382823,0,0
2020-10-28,0,382823,0,0
2020-10-29,0,382823,0,0
2020-10-30,0,382823,0,0
2020-10-31,0,382823,0,0
2020-11-01,0,382823,0,0
2020-11-02,0,382823,0,0
2020-11-03,0,382823,0,0
2020-11-04,0,382823,0,0
2020-11-05,0,382823,0,0
2020-11-06,0,382823,0,0
2020-11-07,0,382823,0,0
2020-11-08,0,382823,0,0
2020-11-09,0,382823,0,0
2020-11-10,0,382823,0,0
2020-11-11,0,382823,0,0
2020-11-12,0,382823,0,0
2020-11-13,0,382823,0,0
2020-11-14,0,382823,0,0
2020-11-15,0,382823,0,0
2020-11-16,0,382823,0,0
2020-11-17,0,382823,0,0
2020-11-18,0,382823,0,0
2020-11-19,0,382823,0,0
2020-11-20,0,382823,0,0
2020-11-21,0,382823,0,0
2020-11-22,0,382823,0,0
2020-11-23,0,382823,0,0
2020-11-24,0,382823,0,0
2020-11-25,0,382823,0,0
2020-11-26,0,382823,0,0
2020-11-27,0,382823,0,0
2020-11-28,0,382823,0,0
2020-11-29,0,382823,0,0
2020-11-30,0,382823,0,0
2020-12-01,0,382823,0,0
2020-12-02,0,382823,0,0
2020-12-03,0,382823,0,0
2020-12-04,0,382823,0,0
2020-12-05,0,382823,0,0
2020-12-06,0,382823,0,0
2020-12-07,0,382823,0,0
2020-12-08,0,382823,0,0
2020-12-09,0,382823,0,0
2020-12-10,0,382823,0,0
2020-12-11,0,382823,0,0
2020-12-12,0,382823,0,0
2020-12-13,0,382823,0,0
2020-12-14,0,382823,0,0
2020-12-15,0,382823,0,0
2020-12-16,0,382823,0,0
2020-12-17,0,382823,0,0
2020-12-18,0,382823,0,0
2020-12-19,0,382823,0,0
2020-12-20,0,382823,0,0
2020-12-21,0,382823,0,0
2020-12-22,0,382823,0,0
2020-12-23,0,382823,0,0
2020-12-24,0,382823,0,0
2020-12-25,0,382823,0,0
2020-12-26,0,382823,0,0
2020-12-27,0,382823,0,0
2020-12-28,0,382823,0,0
2020-12-29,0,382823,0,0
2020-12-30,0,382823,0,0
2020-12-31,0,382823,0,0
2021-01-01,0,382823,0,0
2021-01-02,0,382823,0,0
2021-01-03,0,382823,0,0
2021-01-04,0,382823,0,0
2021-01-05,0,382823,0,0
